全業種のデータ状況（videoTags = ダッシュボードで表示されるタグ付き動画数）

ID  | 業種名         | videoTags数 | ステータス
----|---------------|------------|----------
11  | フィットネス    | 834        | ✅ データあり
12  | エンタメ       | 104        | ✅ データあり
13  | ファッション    | 134        | ✅ データあり
14  | 不動産         | 70         | ✅ データあり
15  | 教育           | 65         | ✅ データあり
16  | EC・D2C       | 112        | ✅ データあり
17  | 飲食・グルメ    | 78         | ✅ データあり
18  | 美容・コスメ    | 179        | ✅ データあり
19  | 旅行           | 3          | ⚠️ データ極少
20  | 医療           | 0          | ❌ データなし
21  | ペット         | 0          | ❌ データなし（動画は収集済みだがタグ未付与）

データ不足の業種: 旅行(19), 医療(20), ペット(21)
